Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US12001,12001,"Alachua County, Florida",247973,*****
0500000US12003,12003,"Baker County, Florida",27010,*****
0500000US12005,12005,"Bay County, Florida",168957,*****
0500000US12007,12007,"Bradford County, Florida",28404,*****
0500000US12009,12009,"Brevard County, Florida",544019,*****
0500000US12011,12011,"Broward County, Florida",1761993,*****
0500000US12013,12013,"Calhoun County, Florida",14639,*****
0500000US12015,12015,"Charlotte County, Florida",160380,*****
0500000US12017,12017,"Citrus County, Florida",140805,*****
0500000US12019,12019,"Clay County, Florida",190891,*****
0500000US12021,12021,"Collier County, Florida",323548,*****
0500000US12023,12023,"Columbia County, Florida",67546,*****
0500000US12027,12027,"DeSoto County, Florida",34628,*****
0500000US12029,12029,"Dixie County, Florida",16301,*****
0500000US12031,12031,"Duval County, Florida",866431,*****
0500000US12033,12033,"Escambia County, Florida",298864,*****
0500000US12035,12035,"Flagler County, Florida",95987,*****
0500000US12037,12037,"Franklin County, Florida",11545,*****
0500000US12039,12039,"Gadsden County, Florida",46823,*****
0500000US12041,12041,"Gilchrist County, Florida",16880,*****
0500000US12043,12043,"Glades County, Florida",12952,*****
0500000US12045,12045,"Gulf County, Florida",15796,*****
0500000US12047,12047,"Hamilton County, Florida",14728,*****
0500000US12049,12049,"Hardee County, Florida",27347,*****
0500000US12051,12051,"Hendry County, Florida",38669,*****
0500000US12053,12053,"Hernando County, Florida",172784,*****
0500000US12055,12055,"Highlands County, Florida",98734,*****
0500000US12057,12057,"Hillsborough County, Florida",1238365,*****
0500000US12059,12059,"Holmes County, Florida",19971,*****
0500000US12061,12061,"Indian River County, Florida",138203,*****
0500000US12063,12063,"Jackson County, Florida",49589,*****
0500000US12065,12065,"Jefferson County, Florida",14564,*****
0500000US12067,12067,"Lafayette County, Florida",8668,*****
0500000US12069,12069,"Lake County, Florida",297995,*****
0500000US12071,12071,"Lee County, Florida",624155,*****
0500000US12073,12073,"Leon County, Florida",276506,*****
0500000US12075,12075,"Levy County, Florida",40541,*****
0500000US12077,12077,"Liberty County, Florida",8300,*****
0500000US12079,12079,"Madison County, Florida",19187,*****
0500000US12081,12081,"Manatee County, Florida",324834,*****
0500000US12083,12083,"Marion County, Florida",331987,*****
0500000US12085,12085,"Martin County, Florida",146497,*****
0500000US12086,12086,"Miami-Dade County, Florida",2512219,*****
0500000US12087,12087,"Monroe County, Florida",73475,*****
0500000US12089,12089,"Nassau County, Florida",73303,*****
0500000US12091,12091,"Okaloosa County, Florida",183400,*****
0500000US12093,12093,"Okeechobee County, Florida",39779,*****
0500000US12095,12095,"Orange County, Florida",1153795,*****
0500000US12097,12097,"Osceola County, Florida",272355,*****
0500000US12099,12099,"Palm Beach County, Florida",1324085,*****
0500000US12101,12101,"Pasco County, Florida",465276,*****
0500000US12103,12103,"Pinellas County, Florida",917389,*****
0500000US12105,12105,"Polk County, Florida",604562,*****
0500000US12107,12107,"Putnam County, Florida",74224,*****
0500000US12109,12109,"St. Johns County, Florida",191495,*****
0500000US12111,12111,"St. Lucie County, Florida",278246,*****
0500000US12113,12113,"Santa Rosa County, Florida",153086,*****
0500000US12115,12115,"Sarasota County, Florida",380479,*****
0500000US12117,12117,"Seminole County, Florida",423389,*****
0500000US12119,12119,"Sumter County, Florida",94240,*****
0500000US12121,12121,"Suwannee County, Florida",42287,*****
0500000US12123,12123,"Taylor County, Florida",22561,*****
0500000US12125,12125,"Union County, Florida",15400,*****
0500000US12127,12127,"Volusia County, Florida",495581,*****
0500000US12129,12129,"Wakulla County, Florida",30449,*****
0500000US12131,12131,"Walton County, Florida",55349,*****
0500000US12133,12133,"Washington County, Florida",24732,*****